lyrics,artist
"This message is transmitted 
at the request of the President of the United States of America
and the Office of Homeland Security
In compliance with the United Nations,
the President of the United States has declared Martial Law
Curfew is now in place
Return to your homes
Any congregating of two or more people outside of your homes
will result in you being arrested on sight
Anyone possessing a firearm 
or any item or instrument that can be used as a weapon
will be deemed an enemy of the state and will be arrested on sight
UN peacekeeping garrisons have severed all data transmissions 
and telephone communications for national security
Any violation of martial law will result in immediate arrest and trial for treason
All traitors will be shot
America is now engaged in civil war

It's already started, maybe too late to stop
It's already on, they shooting the cops
They pushing the line, racism is high
The country's divided, you know the f*ck why
The press of the pull, and push of the truth
The public is dumb, delusional youth
Our leaders are evil, lie after lie
The public is armed, and ready to die
(Ready to die)

(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
Rich or poor, urban war
Shit might just jump off tonight
(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
This shit is true
Coming soon to a town near you

They don't care about nothing, just personal gain
These politicians wouldn't mind a war, motherfuck your pain
Cops are killing people and never do time
In the hood we killing each other like that ain't no crime
I'm feeling the tension, don't tell me you don't
These fools will get us all killed, don't tell me they won't
There's guns on the streets, it's already too late
The net's overloaded with pure racial hate
Depressed, just instigate, they love a fight
Don't give a f*ck about who gets hurt just news that night
They try and twist the problem like it's white and black
But if you come to shoot me, yo I'm shooting back

(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
Rich or poor, urban war
Shit might just jump off tonight
(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
This shit is true
Coming soon to a town near you

(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
Rich or poor, urban war
Shit might just jump off tonight
(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
This shit is true
Coming soon to a town near you",Body+Count
"Police are hunting for two suspects in a violent home invasion
They are worried that these men may strike again

I got no plans for gettin' loot legal
All black gear on 12 inch suppressor
44 foot desert eagle
Layin' in your parkin' lot, creeping in your lobby (resist)
No problem pushin' holes through your fuckin' body
You can't escape me, if I want what you got
You can't evade me, no chance to call the cops
I'm doin' my job, this is just what I do
You make money, I come and visit you

I gotta get paid, I gotta get paid, I gotta get paid
The ski mask way
I gotta get paid, I gotta get paid, I gotta get paid
The ski mask way

I'm in your rear view, when you leave the club
How cold could I be, you look like food to me
All on Instagram, showin' that cash off
What you really hope, is I don't take this mask off 
Don't make me punish you don't want to hurt your wife
Come up off that watch, it ain't worth your life
I gotta crew of wolves, life has no meaning
We roll late night and hunt human beings

I gotta get paid, I gotta get paid, I gotta get paid
The ski mask way
I gotta get paid, I gotta get paid, I gotta get paid
The ski mask way

Okay you know what the f*ck this is pay attention everybody move against that wall
Get down on your knees lock your fingers behind your mutha fuckin' head now
I didn't come here for no bullshit we want what's in that mutha fuckin' safe you 
You know the combination bring your punk ass over here 
I will blow your mutha fuckin' brains out
You gonna open that mutha Fuckin' safe right now
Is that your bitch? 
Grab this bitch bring her over here
No I will not shoot you, I'm gonna shoot the bitch
Open the mutha fuckin' safe now, mutha fucka this is business nigga

New car we might come to visit you
Big jewels we might come to visit you
Flash cash we might come to visit you
Post pictures we might come to visit you
Nice furs we might come to visit you
Sell drugs we might come to visit you
Brag a lot we might come to visit you
Pray to God we don't come to visit you

I gotta get paid, I gotta get paid, I gotta get paid
The ski mask way
I gotta get paid, I gotta get paid, I gotta get paid
The ski mask way",Body+Count
"People always wanna know 
The reason for what they consider senseless violence in the hood
I'ma break it down for you 
This is why we ride

And this is why we ride
And this is why we ride

I gotta say this clear, I gotta say this loud
I should've been dead, don't know how I'm here now
I should've been dead, damn it forty years ago
How the f*ck did I survive? Something that I'll never know
I played the crack game, gang bang, guns
Motherfuckers told me I'd never see twenty one

I come from LA, deep in the heart of the hood
Every night the bullets fly, this shit ain't Hollywood
Could be your best friend, mother or brother dead
Cops can't do shit, these streets are blood red
So we leave the block and we load the guns
And we want revenge, until revenge comes

And this is why we ride

And this is why we ride

I made it out the hood, I got a great life
But them bullets fly every motherfucking night
Another kid dies every motherfucking night
Another mother cries every motherfucking night
Ghettoes of deep crack, made to never escape
A place to store the poor, made to never escape
They're all over the world, people go to die
Murders go unsolved, I understand why
They remove hope and then we sell dope
Pain in poverty has us at each other's throat
Families are broken and so we gang bang
A bit form of unity but most love some of us ever seen

And this is how we die

And this is why we ride

Oh man, coming up and surviving in the ghetto
The smallest argument goes from little drama to big drama 
Next thing you know, somebody's dead
I don't think you can understand if you've never been in your streets 
And held your best friend in your arms
Your child in your arms and watch them breathe their last breath 
'Cause somebody shot them dead in the streets 
You ain't thinking of calling the police
You want revenge and you want it now 
I gotta be honest with you 
If somebody were to kill me, shoot me right now, 
My last words wouldn't be peace 
It would be get those motherfuckers

(And this is why we ride)

This song is dedicated to all of you who has lost somebody to street violence

And this is why we ride

And this is how we die",Body+Count
"I thought you were my friend
I gave you my trust
I would've died for you
Then the second I turn my back
you f*ck me over?
All love is lost

Now you have the nerve to tell me you're sorry?
All love is lost
You've got to be out of your motherfucking mind
All love is lost
You never loved me, you never fucking did
All love is lost
Once you betrayed me that is the fucking end
All love is lost

I don't give a f*ck 'bout what you do with your life
I don't give a f*ck 'bout what you do with your life
I don't give a f*ck 'bout what you do with your life
I don't give a f*ck 'bout what you do with your life

I don't give a f*ck about you, you can fucking die
I couldn't fucking care less when you fucking cry
My heart's so cold, you left a broken soul
You destroyed everything I thought was true
And now you talk shit cause I don't give a f*ck
And now I'm long gone, focus on you
I don't care where you are, don't care what you do
You say you hate me? Cool, I fucking hate you
(Hate you)

All love is lost
All love is lost
You never loved me, you never fucking did
All love is lost
Once you betrayed me that is the fucking end
All love is lost

You see you the kind of motherfucker with no honour
The kind of motherfucker with no loyalty
Motherfucker you can't trust
Cross me, and then you want another chance?

One strike and I don't care about your fucking life
You're not no friend to me, you're fucking dead to me
Don't give a f*ck about the shit that you was going through
You did some shit to me that I could never do to you
'Cuase I'm not no fake champ, I'm not no punk bitch
You're lucky I ain't put your ass in some dark ditch
And now you want some type of sympathy from me now?
If you were stabbed on the floor I'd watch you bleed out

H - is for the Hell I unleash
A - arise the Apocalypse
T - I am your Terror
E - destroy the Enemy

People say I'm cold-hearted
Why?
Cause you fucked over me?
Cause you broke every promise you to me?
Because you said you were my friend and then you stabbed me in my motherfucking 

All love is lost
All love is lost
All love is lost
You never loved me, you never fucking did
All love is lost
Once you betrayed me that is the fucking end
All love is lost",Body+Count
"I spent my life between the light blue lines of loose leaf
I spent my time between impressionable minds and true beef
I spent my days up, my nights up, it's too hard to sleep
Look at my face, it's not the one of someone at peace
I carry guns when I don't need to, but my mind's so fucked
I see assassins coming out of the rough
I keep my doors locked, windows shut, shades down, so pound
Waiting on some Satans who may think of invading
When I do sleep I dream about pain and unrest
About gunfights and dum-dums exploding my chest
I see my boys that've died sitting with me again
And when I wake I realize that I've lost most of my friends
Will my past come back to get me?
Will them bosses that we shot come back to wreck me?
I'm paranoid, it ain't easy when your lifestyle was grimy and greasy
I'm trying to make peace with the karma and the drama
God, please believe me",Body+Count
"I fought the darkness
That would've crippled most men
You've never seen it
Disgaged from a poison pen
I'm not like you
Motherfucker, don't you forget it
Walk straight down a venomous road
Soak it up just so I can spit it

How can you understand me
I don't fucking understand myself
How can you even help me
I gotta play the fucking hand I'm dealt
I fight to control it
The monsters inside my brain
Decimate my enemies
Slow torture, bottomless pain

Walk with me
Into the darkest recesses of my mind
Where no one is safe
Come with me
Into the darkest recesses of my mind
Where no one escapes

You're staring at me
You don't see what I am
A deadly viper
In the skin of a normal man
I dwell in shadows
Motherfucker, you are my enemy
The eyes of a snake see visions of the end
I fall like the night and take you down with me

The beast is unleashed
Upon victims verse after verse
I place my hands on my forehead
And the violence pours out like a curse
In the day I seem normal
And I smile and joke and laugh
When I write late at night
I'm a murdering sociopath

Walk with me
Into the darkest recesses of my mind
Where no one is safe
Come with me
Into the darkest recesses of my mind
Where no one escapes

No one is safe
No one escapes
There's no escape

Walk with me
Into the darkest recesses of my mind
Where no one is safe
Come with me
Into the darkest recesses of my mind
Where no one escapes
Walk with me
Into the darkest recesses of my mind
Where no one is safe
Come with me
Into the darkest recesses of my mind
Where no one escapes",Body+Count
"Another night I sit alone in the dark
I can't remember my name, I stalk streets and parks
Shame on the victims whose lifes intersect with mine
Massive contusions, rivers of crimson wine
Dismemberments is all that I'm remembering
Bloodstains, pieces of brains under my fingernails
Screams, kicks, fights, bruises, and yells
Nobody lives so nobody tells
I wake up in my house all alone
Bloody sheets, mud on my feet
Next to me, utensils of death, I can't front son
Knives, razor blades, axes, and guns
Look in my chest, I got this ill ass cut
I get the needle and thread and sew it up
Raise the shades and it's night again
You'll hear the shouts

Here I go again, check me out
Here I go again, check me out
Here I go again, check me out
Here I go again, check me out

Two ladies out late walking their dogs
They're old, the city is damned from the fault
I approach from the back with the speed of a shark
Cloaked by dark, I rip their backs apart
The violence is incredibly sexual to me
I'm a blood fiend, makes me bust nuts in my jeans
Yeah, I think I want to keep their heads
I love to peel off their faces and wear their dead skin to bed
The dogs bark and bite at my feet
As I leave they drag their headless bodies down the street
I make it home, take a bath
The water turns red in the aftermath
I wake again and it's night
I passed out, no doubt

Here I go again, check me out
Here I go again, check me out
Here I go again, check me out
Here I go again, check me out

Make it stop
Make the voices stop
Make it stop, please
Stop

My mind echoes with voices of terror
My next victim is in the mirror
Seems like I've seen him before, I can't quite recollect
All I know is that the voices say ""Slice his neck""
I cut off his hand, the blood sprayed from his wrist
And burst, it felt warm when it quenched my thirst
I stabbed him in the eye with my knife made of surgical steel
Oh what a feel
Electrical shocks ripped my brain
Pain like I never felt before, sweet pain
I love it, I love it and I want more
Pulled out my straight razor blade in his juggular
I'm looking at the ceiling now
I wonder where he went and how
He couldn't escape, not in that state
I transcended through the gates of hell and met my soul mate
South of heaven and the devil is my final vouch
You'll hear the shouts

Here I go again, check me out
Here I go again, check me out
Here I go again, check me out
Here I go again, check me out",Body+Count
"It's unfortunate that we even have to say 'Black Lives Matter'
I mean, if you go through history nobody ever gave a f*ck
I mean, you can kill black people in the street, nobody goes to jail, nobody goes to prison
But when I say 'Black Lives Matter' and you say 'All Lives Matter'
That's like if I was to say 'Gay Lives Matter' and you say 'All Lives Matter'
If I said, 'Women's Lives Matter' and you say 'All Lives Matter', you're diluting what I'm saying
You're diluting the issue
The issue isn't about everybody, it's about black lives, at the moment
But the truth of the matter is, they don't really give a f*ck about anybody
If you break this shit all the way down to the low fucking dirty-ass truth

We say that 'Black Lives Matter'
Well truthfully they really never have
No one ever really gave a f*ck
Just read your bullshit history books
But honestly it ain't just black
It's yellow, it's brown, it's red
It's anyone who ain't got cash
Poor whites that they call trash

They can't, f*ck with us
Once they realise we're all on the same side
They can't, split us up
And let them prosper off the divide
They can't, f*ck with us
Once they realize we're all on the same side
They can't, split us up
And let them prosper off the divide

Don't fall for the bait and switch
Racism is real, but not it
They f*ck whoever can't fight back
But now we gotta change all that
The people have had enough
Right now, it's them against us
This shit is ugly to the core
When it comes to the poor
No lives matter
 
America's always been
A place that judge my skin
And racism is real as f*ck
Ain't no way to play that off
And in the eyes of the law
Black skin has always stood for poor
This is basic shit
They know who they fucking with

They can't, f*ck with us
Once they realise we're all on the same side
They can't, split us up
And let them prosper off the divide
They can't, f*ck with us
Once they realize we're all on the same side
They can't, split us up
And let them prosper off the divide

Don't fall for the bait and switch
Racism is real, but not it
They f*ck whoever can't fight back
But now we gotta change all that
The people have had enough
Right now, it's them against us
This shit is ugly to the core
When it comes to the poor
No lives matter

You never see them pulling rich people out of their cars in their neighbourhoods because they know they got lawyers
They know they'll sue their ass
They can tell who to f*ck with
Unfortunately, black or brown skin has always meant poor
They're profiling you kid
They know you can't fight back, but we about to

Investigators say they are reviewing body camera and dashcam video of Tuesday's shooting
Police say that Keith Lamont Scott did have a gun in his hand when an officer shot him
But a new picture of the scene shows something at Scott's feet
A source tells our Charlotte affiliate it may be a gun
But people in the neighbourhood say the father of four was holding a book instead

Officer Vinson was in plain clothes when the shooting happened
He was not wearing a body worn camera
But we are told that three other officers wore theirs
The department is under increasing pressure to release police videos from the shooting
But the police chief says he will not do that right now because of the investigation (ladies and gentlemen. This shit is deeper than racism)

Don't fall for the bait and switch
Racism is real, but not it
They f*ck whoever can't fight back
But now we gotta change all that
The people have had enough
Right now, it's them against us
This shit is ugly to the core
When it comes to the poor
No lives matter

This shit is ugly to the core
When it comes to the poor
No lives matter

This shit is ugly to the core
When it comes to the poor
No lives matter",Body+Count
"Since the beginning of time, humans have killed each other because they disagree
The human is the only animal that actually kills for sport
The ability to kill is as innate as our ability to love
When someone hurts me I want revenge, I want them in pain, I want them dead

I've got a sickness, bloodlust
I've got a sickness, bloodlust

I'm a carnivore, I can eat meat raw
I destroy almost everything I touch
I got a quick fuse, trip and I murder you
And forget you, more bullets the better
I can't explain it though, it makes me feel good
Zombie apocalypse, I live for the gore
Give me suicide, serial massacre
Execution yo, I always want more
I love the punishment, I love to dish it out
I want blood, motherfuck a submission
It's deep inside of me, violent tendencies
Like a scalpel when it makes its incision

I've got a sickness, bloodlust
I've got a sickness, bloodlust

I've got a love (It's a lust for blood)
I've got a love (It's a lust for blood)
I've got a love (It's a lust for blood)
I've got a love

Sometimes I wonder am I somehow aroused by this shit
Then I wonder why certain people are pleased by others' pain

I've always had this, this ain't nothing new
This fucking sickness, probably the same as you
I love brutality, it makes my pulse rot
I mean fatality, bodies in dark skies
It's in my DNA, I don't care what you think
It's running through my veins, animal instinct
Make me mad, I want you to die
Different politics, millions of homicides
I get my rocks off letting these Glocks off
Cross me wrong, get your ass crossed up
I'm the human species, the most violent on Earth
I killed my own planet, I'm so sick that it hurts

I've got a sickness, bloodlust
I've got a sickness, bloodlust
I've got a sickness, bloodlust
I've got a sickness, bloodlust",Body+Count
"This message is transmitted 
at the request of the President of the United States of America
and the Office of Homeland Security
In compliance with the United Nations,
the President of the United States has declared Martial Law
Curfew is now in place
Return to your homes
Any congregating of two or more people outside of your homes
will result in you being arrested on sight
Anyone possessing a firearm 
or any item or instrument that can be used as a weapon
will be deemed an enemy of the state and will be arrested on sight
UN peacekeeping garrisons have severed all data transmissions 
and telephone communications for national security
Any violation of martial law will result in immediate arrest and trial for treason
All traitors will be shot
America is now engaged in civil war

It's already started, maybe too late to stop
It's already on, they shooting the cops
They pushing the line, racism is high
The country's divided, you know the f*ck why
The press of the pull, and push of the truth
The public is dumb, delusional youth
Our leaders are evil, lie after lie
The public is armed, and ready to die
(Ready to die)

(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
Rich or poor, urban war
Shit might just jump off tonight
(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
This shit is true
Coming soon to a town near you

They don't care about nothing, just personal gain
These politicians wouldn't mind a war, motherfuck your pain
Cops are killing people and never do time
In the hood we killing each other like that ain't no crime
I'm feeling the tension, don't tell me you don't
These fools will get us all killed, don't tell me they won't
There's guns on the streets, it's already too late
The net's overloaded with pure racial hate
Depressed, just instigate, they love a fight
Don't give a f*ck about who gets hurt just news that night
They try and twist the problem like it's white and black
But if you come to shoot me, yo I'm shooting back

(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
Rich or poor, urban war
Shit might just jump off tonight
(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
This shit is true
Coming soon to a town near you

(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
Rich or poor, urban war
Shit might just jump off tonight
(Civil war)
What side you on when the shit pops off?
Black or white, wrong or right?
(Civil war)
This shit is true
Coming soon to a town near you",Body+Count
