,movieId,title,genres,year,alt_title
0,1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story
1,2,Jumanji,Adventure|Children|Fantasy,1995,Jumanji
2,3,Grumpier Old Men,Comedy|Romance,1995,Grumpier Old Men
3,4,Waiting to Exhale,Comedy|Drama|Romance,1995,Waiting to Exhale
4,5,Father of the Bride Part II,Comedy,1995,Father of the Bride Part II
5,6,Heat,Action|Crime|Thriller,1995,Heat
6,7,Sabrina,Comedy|Romance,1995,Sabrina
7,8,Tom and Huck,Adventure|Children,1995,Tom and Huck
8,9,Sudden Death,Action,1995,Sudden Death
9,10,GoldenEye,Action|Adventure|Thriller,1995,GoldenEye
10,11,"American President, The",Comedy|Drama|Romance,1995,"American President, The"
11,12,Dracula: Dead and Loving It,Comedy|Horror,1995,Dracula: Dead and Loving It
12,13,Balto,Adventure|Animation|Children,1995,Balto
13,14,Nixon,Drama,1995,Nixon
14,15,Cutthroat Island,Action|Adventure|Romance,1995,Cutthroat Island
15,16,Casino,Crime|Drama,1995,Casino
16,17,Sense and Sensibility,Drama|Romance,1995,Sense and Sensibility
17,18,Four Rooms,Comedy,1995,Four Rooms
18,19,Ace Ventura: When Nature Calls,Comedy,1995,Ace Ventura: When Nature Calls
19,20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,Money Train
20,21,Get Shorty,Comedy|Crime|Thriller,1995,Get Shorty
21,22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,Copycat
22,23,Assassins,Action|Crime|Thriller,1995,Assassins
23,24,Powder,Drama|Sci-Fi,1995,Powder
24,25,Leaving Las Vegas,Drama|Romance,1995,Leaving Las Vegas
25,26,Othello,Drama,1995,Othello
26,27,Now and Then,Children|Drama,1995,Now and Then
27,28,Persuasion,Drama|Romance,1995,Persuasion
28,29,"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,"Cité des enfants perdus, La"
29,30,Shanghai Triad,Crime|Drama,1995,Yao a yao yao dao waipo qiao
30,31,Dangerous Minds,Drama,1995,Dangerous Minds
31,32,Twelve Monkeys,Mystery|Sci-Fi|Thriller,1995, 12 Monkeys
32,34,Babe,Children|Drama,1995,Babe
33,36,Dead Man Walking,Crime|Drama,1995,Dead Man Walking
34,38,It Takes Two,Children|Comedy,1995,It Takes Two
35,39,Clueless,Comedy|Romance,1995,Clueless
36,40,"Cry, the Beloved Country",Drama,1995,"Cry, the Beloved Country"
37,41,Richard III,Drama|War,1995,Richard III
38,42,Dead Presidents,Action|Crime|Drama,1995,Dead Presidents
39,43,Restoration,Drama,1995,Restoration
40,44,Mortal Kombat,Action|Adventure|Fantasy,1995,Mortal Kombat
41,45,To Die For,Comedy|Drama|Thriller,1995,To Die For
42,46,How to Make an American Quilt,Drama|Romance,1995,How to Make an American Quilt
43,47,Seven,Mystery|Thriller,1995, Se7en
44,48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,Pocahontas
45,49,When Night Is Falling,Drama|Romance,1995,When Night Is Falling
46,50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,"Usual Suspects, The"
47,52,Mighty Aphrodite,Comedy|Drama|Romance,1995,Mighty Aphrodite
48,53,Lamerica,Adventure|Drama,1994,Lamerica
49,54,"Big Green, The",Children|Comedy,1995,"Big Green, The"
50,55,Georgia,Drama,1995,Georgia
51,57,Home for the Holidays,Drama,1995,Home for the Holidays
52,58,"Postman, The",Comedy|Drama|Romance,1994,"Postino, Il"
53,60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995,"Indian in the Cupboard, The"
54,61,Eye for an Eye,Drama|Thriller,1996,Eye for an Eye
55,62,Mr. Holland's Opus,Drama,1995,Mr. Holland's Opus
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
57,64,Two if by Sea,Comedy|Romance,1996,Two if by Sea
58,65,Bio-Dome,Comedy,1996,Bio-Dome
59,66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996,Lawnmower Man 2: Beyond Cyberspace
60,68,French Twist,Comedy|Romance,1995,Gazon maudit
61,69,Friday,Comedy,1995,Friday
62,70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,From Dusk Till Dawn
63,71,Fair Game,Action,1995,Fair Game
